code,name,area_km2,island_count,regency_count,city_count,district_count,village_count,urban_village_count,rural_village_count
11,Aceh,56835.019,365.0,18,5,290,6500,0,6500
12,Sumatera Utara,72437.755,228.0,25,8,455,6110,693,5417
13,Sumatera Barat,42107.674,219.0,12,7,179,1265,230,1035
14,Riau,89900.78,144.0,10,2,172,1862,271,1591
15,Jambi,49023.037,14.0,9,2,144,1585,171,1414
16,Sumatera Selatan,86771.918,24.0,13,4,241,3259,403,2856
17,Bengkulu,20122.21,9.0,9,1,129,1513,172,1341
18,Lampung,33570.758,172.0,13,2,229,2651,205,2446
19,Kepulauan Bangka Belitung,16670.225,501.0,6,1,47,393,84,309
21,Kepulauan Riau,8170.375,2.028,5,2,80,419,144,275
31,Daerah Khusus Ibukota Jakarta,661.53,113.0,1,5,44,267,267,0
32,Jawa Barat,37053.331,30.0,18,9,627,5957,646,5311
33,Jawa Tengah,34347.428,71.0,29,6,576,8563,753,7810
34,Daerah Istimewa Yogyakarta,3170.363,37.0,4,1,78,438,46,392
35,Jawa Timur,48055.876,538.0,29,9,666,8494,773,7721
36,Banten,9355.763,80.0,4,4,155,1552,314,1238
51,Bali,5582.827,41.0,8,1,57,716,80,636
52,Nusa Tenggara Barat,19631.991,430.0,8,2,117,1166,145,1021
53,Nusa Tenggara Timur,46378.105,653.0,21,1,315,3442,305,3137
61,Kalimantan Barat,147018.063,260.0,12,2,174,2145,99,2046
62,Kalimantan Tengah,153430.363,71.0,13,1,136,1571,139,1432
63,Kalimantan Selatan,37125.426,165.0,11,2,156,2016,144,1872
64,Kalimantan Timur,126951.758,244.0,7,3,105,1038,197,841
65,Kalimantan Utara,69900.886,196.0,4,1,55,482,35,447
71,Sulawesi Utara,14488.429,382.0,11,4,171,1839,332,1507
72,Sulawesi Tengah,61496.983,1.6,12,1,177,2017,175,1842
73,Sulawesi Selatan,45323.975,394.0,21,3,313,3059,793,2266
74,Sulawesi Tenggara,36139.303,591.0,15,2,221,2285,377,1908
75,Gorontalo,12024.982,127.0,5,1,77,729,72,657
76,Sulawesi Barat,16590.667,69.0,6,0,69,648,73,575
81,Maluku,46133.832,1.422,9,2,119,1235,35,1200
82,Maluku Utara,31465.977,975.0,8,2,118,1185,118,1067
91,Papua,81383.315,544.0,8,1,105,999,51,948
92,Papua Barat,60308.59,1.498,7,0,91,824,21,803
93,Papua Selatan,117858.969,7.0,4,0,82,690,13,677
94,Papua Tengah,61079.587,50.0,8,0,131,1208,36,1172
95,Papua Pegunungan,52508.656,0.0,8,0,252,2627,10,2617
96,Papua Barat Daya,39103.058,3.082,5,1,132,1013,74,939
